TASK LIST 
pid, nice, arrival_time, burst_time 
====================================================== 
0, 16.0, 52.465707471468654, 69.4488647474042 
1, -2.0, 41.47308656145759, 57.998647421802275 
2, -5.0, 57.20305856665774, 89.36788648153336 
3, 3.0, 81.98750702470154, 109.64562480271098 
4, 3.0, 77.4223741572876, 82.77889565429544 
5, 17.0, 60.00676630181929, 26.648489838137834 
6, -20.0, 50.14693996980786, 63.49599429818781 
7, 11.0, 35.65663936682945, 69.03966802675323 
8, 6.0, 57.71129547284782, 42.11979103797945 
9, -5.0, 14.821484158474448, 38.3983173703826 
